100; 1; 3
2;1;0;0;19
2;7;0;0;22
3;8;0;0;1
12;11;0;0;33
13;15;0;0;1
19;17;0;0;28
19;18;0;0;31
20;11;0;0;1
20;18;0;0;16
25;26;0;0;1
28;26;0;0;1
28;29;0;0;33
30;24;0;0;1
31;33;0;0;34
37;40;0;0;13
41;38;0;0;17
42;43;0;0;12
48;49;0;0;1
51;50;0;0;1
55;50;0;0;5
58;61;0;0;4
64;65;0;0;36
71;73;0;0;1
72;67;0;0;1
75;74;0;0;43
76;73;0;0;30
77;80;0;0;14
78;74;0;0;1
81;80;0;0;1
84;80;0;0;2
85;82;0;0;8
86;82;0;0;1
89;96;0;0;52
91;93;0;0;16
92;94;0;0;30
95;94;0;0;1
95;97;0;0;26
98;94;0;0;17
98;96;0;0;15
98;99;0;0;11
0;1;1;0;20
3;10;1;0;11
5;7;1;0;2
6;8;1;0;1
20;21;1;0;19
27;29;1;0;15
31;34;1;0;4
32;29;1;0;1
36;38;1;0;1
45;46;1;0;15
48;49;1;0;43
53;50;1;0;17
54;61;1;0;1
55;52;1;0;3
57;60;1;0;41
72;74;1;0;10
75;74;1;0;18
78;79;1;0;1
81;80;1;0;31
83;80;1;0;1
85;82;1;0;8
87;82;1;0;1
90;93;1;0;14
95;93;1;0;13
98;97;1;0;1
0;1;2;0;13
2;8;2;0;1
4;1;2;0;21
5;7;2;0;18
6;8;2;0;29
13;16;2;0;29
14;16;2;0;19
22;21;2;0;33
25;23;2;0;8
30;29;2;0;22
32;29;2;0;11
36;35;2;0;3
41;39;2;0;4
45;43;2;0;9
51;46;2;0;5
54;52;2;0;11
56;59;2;0;26
70;73;2;0;9
71;68;2;0;4
78;80;2;0;23
83;82;2;0;4
84;82;2;0;14
86;82;2;0;9
87;82;2;0;7
87;94;2;0;7
88;97;2;0;24
91;94;2;0;24
98;96;2;0;3
98;97;2;0;4
